# Measure raw data (C) NeU Corporation. 2023. All rights reserved,,,,,,,,,,,,,,,,,,,,,,
# Raw data export format,,,,,,,,,,,,,,,,,,,,,,
# Ver 3.00,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,
# Sensor Informations,,,,,,,,,,,,,,,,,,,,,,
# Type,HOT-2000,,,,,,,,,,,,,,,,,,,,,
# ID,C0:84:18:33:34:4B,,,,,,,,,,,,,,,,,,,,,
# Version,2023072701,,,,,,,,,,,,,,,,,,,,,
# Connection,Bluetooth,,,,,,,,,,,,,,,,,,,,,
# Gain,16,38,14,29,,,,,,,,,,,,,,,,,,
# Average,1975,1796,1921,1825,,,,,,,,,,,,,,,,,,
# HbT Offset,3.56934093779999,2.9489530791261,3.59934102735344,3.66750668700132,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,
# Device time,Headset time,HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),Saturation(left SD1cm),saturation(left SD3cm),Saturation(right SD1cm),saturation(right SD3cm),Noise detection flag,Mark,Accerelo-X,Accerelo-Y,Accerelo-Z,Gyro-X, Gyro-Y, Gyro-Z,Battery-Volt, Battery-Remain
2025/07/05 09:42:08.442,2.6,0.137716874892017,0.113496915061711,0,0.149264813524187,1.03870491267675,0.212580028239864,0.413151796371787,0,0,0,0,0, ,-1.0009765625,-0.1025390625,0.05615234375,8.4228515625,-1.953125,-1.3427734375,4.06,88
2025/07/05 09:42:08.542,2.7,0.155830642706961,0.113553035292999,0,0.144131342923876,1.05499157178559,0.223056721283019,0.415913464448344,0,0,0,0,0, ,-0.994140625,-0.107421875,0.05078125,7.080078125,0.18310546875,-2.13623046875,4.06,88
2025/07/05 09:42:08.642,2.8,0.173799383867438,0.113605146936338,0,0.133880186231039,1.06315483878337,0.225679328175297,0.407633032096834,0,0,0,0,0, ,-1.0009765625,-0.11181640625,0.0458984375,3.72314453125,-0.67138671875,-2.0751953125,4.06,88
2025/07/05 09:42:08.742,2.9,0.194360159692665,0.114691436584269,0,0.103252219554018,1.03870491267675,0.217815630734474,0.380130212887598,0,0,0,0,0, ,-0.99853515625,-0.11181640625,0.03857421875,3.2958984375,-0.244140625,-1.3427734375,4.06,88
2025/07/05 09:42:08.842,3.0,0.217144220139599,0.116099142335025,0,0.0652292231945086,1.0035980987041,0.202125241523286,0.344601230908157,0,0,0,0,0, ,-1.00390625,-0.11474609375,0.03271484375,2.74658203125,-1.28173828125,-1.64794921875,4.06,88
2025/07/05 09:42:08.942,3.1,0.246666560872373,0.120338939345117,0,0.012478169504798,0.950064397529689,0.178681593818096,0.293124212369726,0,0,0,0,0, ,-0.99560546875,-0.12646484375,0.0341796875,1.708984375,-1.46484375,-1.46484375,4.06,88
2025/07/05 09:42:09.042,3.2,0.276192748560702,0.123544455925978,0,0.0174781698469588,0.968736064722052,0.181281021963722,0.306619497014456,0,0,0,0,0, ,-0.9951171875,-0.125,0.0380859375,2.197265625,-2.50244140625,-1.220703125,4.06,88
2025/07/05 09:42:09.143,3.3,0.305504438889219,0.125522680484851,0,0.118542751120276,1.11241632026438,0.244076194910471,0.446392915540856,0,0,0,0,0, ,-1,-0.12158203125,0.04052734375,2.8076171875,-2.197265625,-0.6103515625,4.06,88
2025/07/05 09:42:09.243,3.4,0.334732528552687,0.126901310430658,0,0.144131342923876,1.15384157731763,0.270475411070973,0.485455613642746,0,0,0,0,0, ,-0.99658203125,-0.1259765625,0.0419921875,3.173828125,-1.52587890625,-0.42724609375,4.06,88
2025/07/05 09:42:09.343,3.5,0.364147879883888,0.128919157877993,0,0.141566582710935,1.15384157731763,0.273123015011838,0.47705930616926,0,0,0,0,0, ,-0.9951171875,-0.126953125,0.041015625,3.23486328125,-1.89208984375,-1.220703125,4.06,88
2025/07/05 09:42:09.443,3.6,0.394227357583867,0.131030471843209,0,0.131320677638933,1.15106919026268,0.273123015011838,0.465886117328672,0,0,0,0,0, ,-0.994140625,-0.13427734375,0.04150390625,1.953125,-1.708984375,-1.220703125,4.06,88
2025/07/05 09:42:09.543,3.7,0.425788280128309,0.133563155587762,0,0.105797396460844,1.12067396033369,0.262541000637635,0.435287969442412,0,0,0,0,0, ,-0.998046875,-0.13232421875,0.0419921875,1.8310546875,-1.0986328125,-1.46484375,4.06,88
2025/07/05 09:42:09.643,3.8,0.457975799657053,0.136006551361653,0,0.0677551135869461,1.07952146526434,0.241443923238465,0.391113193526643,0,0,0,0,0, ,-0.99267578125,-0.1435546875,0.0361328125,2.50244140625,-0.8544921875,-1.40380859375,4.06,88
2025/07/05 09:42:09.743,3.9,0.490315301996837,0.137924775045959,0,0.0249875578800141,1.03058143416278,0.215197144198854,0.339157572313292,0,0,0,0,0, ,-0.99267578125,-0.1435546875,0.0361328125,2.50244140625,-0.8544921875,-1.40380859375,4.06,88
2025/07/05 09:42:09.843,4.0,0.522463136562375,0.139852066117509,0,0.0829373112604657,1.10966680140186,0.244076194910471,0.418676658730051,0,0,0,0,0, ,-0.99560546875,-0.14208984375,0.0390625,3.2958984375,-1.220703125,0.1220703125,4.06,88
2025/07/05 09:42:09.943,4.1,0.554289593355353,0.141789100447912,0,0.15954759334476,1.20961460318743,0.29435446910272,0.519182553837833,0,0,0,0,0, ,-1.00048828125,-0.14501953125,0.03515625,2.01416015625,-0.9765625,-0.732421875,4.06,88
2025/07/05 09:42:10.043,4.2,0.586463180475555,0.143879368111582,0,0.164696924310178,1.20961460318743,0.302339565171164,0.522003428341706,0,0,0,0,0, ,-0.9931640625,-0.140625,0.0322265625,0.42724609375,-1.77001953125,-1.03759765625,4.06,88
2025/07/05 09:42:10.143,4.3,0.618553987894304,0.146574419236495,0,0.15954759334476,1.20120888544616,0.29967644930235,0.507914943603515,0,0,0,0,0, ,-0.99365234375,-0.1376953125,0.03076171875,0.18310546875,-2.25830078125,-1.46484375,4.06,88
2025/07/05 09:42:10.243,4.4,0.650037148030588,0.149148806387536,0,0.13900313742254,1.17607618839099,0.291695601757163,0.479856508997736,0,0,0,0,0, ,-0.994140625,-0.15283203125,0.03515625,0.30517578125,-2.25830078125,-1.77001953125,4.06,88
2025/07/05 09:42:10.343,4.5,0.68132522348936,0.151391505755209,0,0.105797396460844,1.13446707232356,0.270475411070973,0.438061894576248,0,0,0,0,0, ,-0.9912109375,-0.15673828125,0.03369140625,1.52587890625,-2.13623046875,-1.220703125,4.06,88
2025/07/05 09:42:10.443,4.6,0.712532099802284,0.153434508250237,0,0.0677551135869461,1.08772491242939,0.246709853083289,0.393862712389163,0,0,0,0,0, ,-0.99169921875,-0.15771484375,0.03759765625,0.8544921875,-2.197265625,-1.15966796875,4.06,88
2025/07/05 09:42:10.543,4.7,0.743677338232153,0.155014126910961,0,0.0249875578800141,1.0332877941344,0.217815630734474,0.339157572313292,0,0,0,0,0, ,-0.9892578125,-0.16015625,0.03759765625,1.89208984375,-2.3193359375,-1.28173828125,4.06,88
2025/07/05 09:42:10.643,4.8,0.774752619222969,0.156441907329232,0,0.0905457325999968,1.11791989806329,0.244076194910471,0.42144138090472,0,0,0,0,0, ,-0.9931640625,-0.16552734375,0.0380859375,2.197265625,-1.89208984375,-0.732421875,4.06,88
2025/07/05 09:42:10.743,4.9,0.806062155062331,0.157685081613763,0,0.17501152296655,1.21803447594701,0.291695601757163,0.530475613241666,0,0,0,0,0, ,-0.99169921875,-0.1591796875,0.0361328125,2.0751953125,-1.46484375,-1.03759765625,4.06,88
2025/07/05 09:42:10.843,5.0,0.83751102160181,0.159738803537312,0,0.185347443805858,1.22084425400662,0.29967644930235,0.536131722357827,0,0,0,0,0, ,-0.990234375,-0.1689453125,0.03662109375,2.62451171875,-1.8310546875,-1.46484375,4.06,88
2025/07/05 09:42:10.943,5.1,0.86749125061882,0.161920435435462,0,0.182761459819848,1.21241965230756,0.297014751115727,0.522003428341706,0,0,0,0,0, ,-0.9892578125,-0.17138671875,0.0361328125,2.197265625,-2.0751953125,-2.685546875,4.06,88
2025/07/05 09:42:11.043,5.2,0.893463666362106,0.164914308514335,0,0.167273579829965,1.19002319862106,0.28638210505573,0.499480868071795,0,0,0,0,0, ,-0.9892578125,-0.181640625,0.03857421875,2.5634765625,-2.13623046875,-1.5869140625,4.06,88
